Unit ID,Inc #,Location,Latitude,Longitude,Inc Type,Started,Ended,Time Spent
101,18047651,300 RUSHMORE AV,40.598997,-74.446131,HOTSPOT PTRL,9/12/2018 11:35,9/12/2018 12:00,24.77
101,18047694,506 GRANT AV,40.605448,-74.431507,HOTSPOT PTRL,9/12/2018 15:08,9/12/2018 15:32,24.02
101,18047913,931 WEST 3RD ST,40.605221,-74.436387,HOTSPOT PTRL,9/13/2018 13:35,9/13/2018 13:54,18.28
106,18048058,961 EAST FRONT ST,40.63381,-74.41316,HOTSPOT PTRL,9/14/2018 8:35,9/14/2018 8:42,7.18
104,18048213,249 EAST FRONT ST,40.621492,-74.42098,HOTSPOT PTRL,9/14/2018 20:41,9/14/2018 20:43,1.25
101,18048262,311 WEST FRONT ST,40.617024,-74.425833,HOTSPOT PTRL,9/15/2018 0:29,9/15/2018 0:40,10.97
105,18048265,128 EAST 7TH ST,40.615777,-74.41656,HOTSPOT PTRL,9/15/2018 0:31,9/15/2018 0:46,15.07
106,18048595,1227 EAST FRONT ST,40.63688,-74.41063,HOTSPOT PTRL,9/16/2018 21:18,9/16/2018 21:18,0.62
106,18048641,837 EAST FRONT ST,40.63129,-74.41492,PROACTIVE PTRL,9/17/2018 3:00,9/17/2018 3:21,20.72
104,18048984,128 EAST 7TH ST,40.615777,-74.41656,PROACTIVE PTRL,9/18/2018 18:51,9/18/2018 18:55,3.22
104,18049219,315 EAST 5TH ST,40.619771,-74.415738,HOTSPOT PTRL,9/20/2018 2:10,9/20/2018 2:31,20.85
103,18049243,1300 GRANT AV,40.599382,-74.424902,HOTSPOT PTRL,9/20/2018 8:48,9/20/2018 9:11,23.1
103,18049306,1315 GRANT AV,40.598942,-74.424629,HOTSPOT PTRL,9/20/2018 13:56,9/20/2018 14:16,19.77
105,18049715,248 EAST 9TH ST,40.616682,-74.412557,HOTSPOT PTRL,9/22/2018 7:41,9/22/2018 8:14,32.93
101,18049749,427 DARROW AV,40.606662,-74.430546,HOTSPOT PTRL,9/22/2018 10:25,9/22/2018 10:48,22.63
105,18049769,248 EAST 9TH ST,40.616682,-74.412557,HOTSPOT PTRL,9/22/2018 12:01,9/22/2018 12:19,17.9
102,18050298,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,9/25/2018 1:49,9/25/2018 2:02,12.68
101,18050468,700 WEST 3RD ST,40.608822,-74.431786,HOTSPOT PTRL,9/26/2018 6:12,9/26/2018 6:27,15.1
106,18050509,1200 EAST FRONT ST,40.635808,-74.410998,HOTSPOT PTRL,9/26/2018 10:18,9/26/2018 10:40,22.08
101,18050624,700 WEST 3RD ST,40.608822,-74.431786,HOTSPOT PTRL,9/26/2018 20:41,9/26/2018 21:10,28.1
102,18051653,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,10/1/2018 22:55,10/1/2018 23:28,33.23
130,18051653,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,10/1/2018 22:55,10/1/2018 23:28,33.23
106,18051999,836 EAST FRONT ST,40.631322,-74.413395,HOTSPOT PTRL,10/3/2018 22:23,10/3/2018 22:28,4.83
106,18052333,839 EAST FRONT ST,40.63153,-74.41512,HOTSPOT PTRL,10/5/2018 21:27,10/5/2018 21:28,0.62
106,18052387,705 SOUTH AV,40.624635,-74.409144,HOTSPOT PTRL,10/6/2018 8:15,10/6/2018 8:32,17.3
102,18052389,130 WEST FRONT ST,40.618187,-74.424488,HOTSPOT PTRL,10/6/2018 8:18,10/6/2018 8:37,18.88
102,18052402,600 PARK AV,40.615518,-74.418489,HOTSPOT PTRL,10/6/2018 9:37,10/6/2018 9:45,8.27
103,18052409,950 PARK AV,40.611937,-74.412372,HOTSPOT PTRL,10/6/2018 9:54,10/6/2018 10:26,32.1
101,18052415,200 MUHLENBERG PL,40.609789,-74.431789,HOTSPOT PTRL,10/6/2018 10:17,10/6/2018 10:30,12.72
106,18052424,1227 EAST FRONT ST,40.63688,-74.41063,HOTSPOT PTRL,10/6/2018 11:17,10/6/2018 11:34,16.43
101,18052427,900 WEST 3RD ST,40.606133,-74.43531,HOTSPOT PTRL,10/6/2018 11:29,10/6/2018 11:45,15.75
